example_id                                       | status | run_time        |
./spec/requests/api/v1/maps_spec.rb[1:3:2]       | passed | 0.13064 seconds |
./spec/requests/api/v1/maps_spec.rb[1:4:1]       | passed | 0.11719 seconds |
./spec/requests/api/v1/members_spec.rb[1:1:1:1]  | passed | 0.38688 seconds |
./spec/requests/api/v1/members_spec.rb[1:1:2:1]  | passed | 0.20082 seconds |
./spec/requests/api/v1/members_spec.rb[1:1:2:2]  | passed | 0.19977 seconds |
./spec/requests/api/v1/members_spec.rb[1:2:1:1]  | passed | 0.1212 seconds  |
./spec/requests/api/v1/members_spec.rb[1:2:2:1]  | passed | 0.0538 seconds  |
./spec/requests/api/v1/members_spec.rb[1:2:2:2]  | passed | 0.06465 seconds |
./spec/requests/api/v1/members_spec.rb[1:2:2:3]  | passed | 0.06001 seconds |
./spec/requests/api/v1/members_spec.rb[1:3:1:1]  | passed | 0.13794 seconds |
./spec/requests/api/v1/members_spec.rb[1:3:2:1]  | passed | 0.16301 seconds |
./spec/requests/api/v1/members_spec.rb[1:4:1:1]  | passed | 0.15824 seconds |
./spec/requests/api/v1/members_spec.rb[1:4:1:2]  | passed | 0.17202 seconds |
./spec/requests/api/v1/members_spec.rb[1:4:2:1]  | passed | 0.15585 seconds |
./spec/requests/api/v1/paths_spec.rb[1:1:1]      | passed | 0.09625 seconds |
./spec/requests/api/v1/plans_spec.rb[1:1:1:1]    | passed | 0.10496 seconds |
./spec/requests/api/v1/plans_spec.rb[1:1:2:1]    | passed | 0.07427 seconds |
./spec/requests/api/v1/plans_spec.rb[1:2:1:1]    | passed | 0.09046 seconds |
./spec/requests/api/v1/plans_spec.rb[1:2:2:1]    | passed | 0.05994 seconds |
./spec/requests/api/v1/plans_spec.rb[1:2:3:1]    | passed | 0.03081 seconds |
./spec/requests/api/v1/plans_spec.rb[1:3:1:1]    | passed | 0.14208 seconds |
./spec/requests/api/v1/plans_spec.rb[1:3:2:1]    | passed | 0.15796 seconds |
./spec/requests/api/v1/plans_spec.rb[1:4:1:1]    | passed | 0.07702 seconds |
./spec/requests/api/v1/plans_spec.rb[1:4:2:1]    | passed | 0.06826 seconds |
./spec/requests/api/v1/plans_spec.rb[1:5:1]      | passed | 0.07095 seconds |
./spec/requests/api/v1/polylines_spec.rb[1:1:1]  | passed | 0.12802 seconds |
./spec/requests/api/v1/rects_spec.rb[1:1:1]      | passed | 0.13898 seconds |
./spec/requests/api/v1/roles_spec.rb[1:1:1]      | passed | 0.26483 seconds |
./spec/requests/api/v1/roles_spec.rb[1:1:2]      | passed | 0.14943 seconds |
./spec/requests/api/v1/roles_spec.rb[1:2:1]      | passed | 0.08315 seconds |
./spec/requests/api/v1/roles_spec.rb[1:2:2]      | passed | 0.04945 seconds |
./spec/requests/api/v1/roles_spec.rb[1:3:1]      | passed | 0.09704 seconds |
./spec/requests/api/v1/roles_spec.rb[1:3:2]      | passed | 0.0505 seconds  |
./spec/requests/api/v1/roles_spec.rb[1:4:1]      | passed | 0.11568 seconds |
./spec/requests/api/v1/svgs_spec.rb[1:1:1]       | passed | 0.48355 seconds |
./spec/requests/api/v1/svgs_spec.rb[1:2:1]       | passed | 0.12158 seconds |
./spec/requests/api/v1/svgs_spec.rb[1:3:1]       | passed | 0.12921 seconds |
./spec/requests/api/v1/todo_lists_spec.rb[1:1:1] | passed | 0.69191 seconds |
./spec/requests/api/v1/todo_lists_spec.rb[1:2:1] | passed | 0.07305 seconds |
./spec/requests/api/v1/todo_lists_spec.rb[1:3:1] | passed | 0.23825 seconds |
./spec/requests/api/v1/todo_lists_spec.rb[1:4:1] | passed | 0.09178 seconds |
./spec/requests/api/v1/todos_spec.rb[1:1:1]      | passed | 0.30914 seconds |
./spec/requests/api/v1/todos_spec.rb[1:1:2:1]    | passed | 0.43505 seconds |
./spec/requests/api/v1/todos_spec.rb[1:2:1]      | passed | 0.20643 seconds |
./spec/requests/api/v1/todos_spec.rb[1:2:2]      | passed | 0.37324 seconds |
./spec/requests/api/v1/todos_spec.rb[1:3:1]      | passed | 0.14578 seconds |
./spec/requests/api/v1/todos_spec.rb[1:4:1]      | passed | 0.11704 seconds |
./spec/requests/api/v1/todos_spec.rb[1:4:2]      | passed | 0.20799 seconds |
./spec/requests/api/v1/todos_spec.rb[1:5:1]      | passed | 0.09186 seconds |
./spec/requests/api/v1/users_spec.rb[1:1:1:1]    | passed | 0.0889 seconds  |
./spec/requests/api/v1/users_spec.rb[1:2:1:1]    | passed | 0.03801 seconds |
./spec/requests/api/v1/users_spec.rb[1:2:2:1]    | passed | 0.02958 seconds |
./spec/requests/api/v1/users_spec.rb[1:2:3:1]    | passed | 0.03412 seconds |
./spec/requests/api/v1/users_spec.rb[1:2:4:1:1]  | passed | 0.06975 seconds |
./spec/requests/api/v1/users_spec.rb[1:2:4:1:2]  | passed | 0.18299 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:1:1]    | passed | 0.07235 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:1:2:1]  | passed | 0.22248 seconds |
./spec/requests/api/v1/users_spec.rb[1:3:2:1]    | passed | 0.05908 seconds |
./spec/requests/api/v1/users_spec.rb[1:4:1:1]    | passed | 0.07825 seconds |
./spec/requests/api/v1/users_spec.rb[1:4:2:1]    | passed | 0.02205 seconds |
